,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
0,1.0,0.0,0.1,0.1,0.8,22309.740071403772,28.0,315.509833750399,17142.561034894323,24.0,215.23446682515223
1,1.0,0.0,0.2,0.1,0.7,19069.445955628817,32.0,283.1606389283828,10769.896392996285,33.0,276.35925204742534
2,1.0,0.0,0.5,0.1,0.4,17199.44536545675,27.0,298.9939621930225,10869.412552852533,31.0,278.0118254119713
3,1.0,0.0,0.6,0.1,0.3,16676.321097781612,36.0,306.64736558898085,10632.336851045393,31.0,283.18628026074
4,1.0,0.0,0.7,0.1,0.2,15746.445913140276,30.0,273.17165464653493,10632.336851045393,31.0,283.18628026074
5,1.0,0.0,0.8,0.1,0.1,14315.769149589323,35.0,288.1818495124371,10746.228971966651,31.0,286.87668956106035
6,1.0,0.0,0.1,0.2,0.7,17429.751189782706,34.0,267.240295648414,15781.286941018237,27.0,228.56365454178305
7,1.0,0.0,0.2,0.2,0.6,14805.624506238608,36.0,315.77550856634167,10769.896392996285,33.0,276.35925204742534
8,1.0,0.0,0.5,0.2,0.3,19690.27291433322,25.0,311.90077764147475,10561.53873184255,31.0,288.64038304358365
9,1.0,0.0,0.6,0.2,0.2,15304.036202246982,31.0,289.6076055874621,10561.53873184255,31.0,288.64038304358365
10,1.0,0.0,0.7,0.2,0.1,19212.608910253217,33.0,306.07410172492416,10567.367815928554,31.0,288.6827190245473
11,1.0,0.0,0.1,0.3,0.6,18808.006788548304,29.0,283.2731882047458,14165.996598099879,29.0,237.83310480953915
12,1.0,0.0,0.5,0.3,0.2,21977.11774109732,26.0,305.90770918045985,10561.53873184255,31.0,288.64038304358365
13,1.0,0.0,0.6,0.3,0.1,16946.988516874866,28.0,268.1127297740497,10567.367815928554,31.0,288.6827190245473
14,1.0,0.0,0.1,0.4,0.5,23307.17542862298,27.0,304.7966101568494,12579.243497078305,31.0,252.1319744190397
15,1.0,0.0,0.5,0.4,0.1,21058.221260714887,27.0,266.1838025583897,10567.367815928554,31.0,288.6827190245473
