,Dataset No.,Run No.,Power weight,Num. weight,Dist. weight,Power_first,Num. Active Sensors_first,Avg. Dist. to Sink node_first,Power_last,Num. Active Sensors_last,Avg. Dist. to Sink node_last
0,0.0,0.0,0.1,0.1,0.8,18706.31333444038,28.0,294.9047772526766,17376.06029930101,22.0,217.8719119236828
1,0.0,0.0,0.2,0.1,0.7,24660.263356054733,21.0,323.4987338123244,10652.013480344087,29.0,279.77648748951776
2,0.0,0.0,0.5,0.1,0.4,18799.45336575736,29.0,306.47081877829197,14323.922816455899,25.0,275.0676344755535
3,0.0,0.0,0.6,0.1,0.3,15813.618835208375,28.0,295.81212171184416,11046.273628419807,28.0,303.7276359019044
4,0.0,0.0,0.7,0.1,0.2,15442.032455630197,33.0,304.225632845929,11046.273628419807,28.0,303.7276359019044
5,0.0,0.0,0.8,0.1,0.1,19272.976184650845,27.0,299.70186797802666,11767.283727987437,28.0,294.6005198752804
6,0.0,0.0,0.1,0.2,0.7,25073.830407788486,24.0,340.8903367733689,16337.98823742717,23.0,218.51675787075095
7,0.0,0.0,0.2,0.2,0.6,16017.643489713606,29.0,308.88997554321327,10652.013480344087,29.0,279.77648748951776
8,0.0,0.0,0.5,0.2,0.3,17930.833423269338,29.0,289.8189490453095,10619.715503321135,29.0,300.61393644966216
9,0.0,0.0,0.6,0.2,0.2,19820.347098077535,30.0,327.0868905172578,10619.715503321135,29.0,300.61393644966216
10,0.0,0.0,0.7,0.2,0.1,19220.800495333988,25.0,310.6992774873741,10628.699658469928,29.0,300.59888349062896
11,0.0,0.0,0.1,0.3,0.6,17928.797191328256,33.0,330.850826000449,14191.182677524812,26.0,241.85679779259095
12,0.0,0.0,0.5,0.3,0.2,14965.875289133977,30.0,303.44027032670743,10619.715503321135,29.0,300.61393644966216
13,0.0,0.0,0.6,0.3,0.1,17374.385749509427,28.0,322.5781716201483,10628.699658469928,29.0,300.59888349062896
14,0.0,0.0,0.1,0.4,0.5,18856.894218206453,29.0,312.7403601972505,13348.401670015295,28.0,261.33919572485587
15,0.0,0.0,0.5,0.4,0.1,18097.127127899337,32.0,302.8250861658532,11370.988998274317,28.0,295.5216468342464
16,0.0,0.0,0.1,0.5,0.4,19298.86965934437,32.0,350.15743312304113,12869.416548613457,26.0,285.83767133438636
17,0.0,0.0,0.1,0.6,0.3,21098.128702666876,27.0,348.8722891629274,13773.76788460065,23.0,284.3221952527834
18,0.0,0.0,0.1,0.7,0.2,13422.405826746868,32.0,301.49923492802736,14663.982235908512,21.0,278.7157000259214
19,0.0,0.0,0.1,0.8,0.1,18861.49548079878,26.0,296.68061868637864,15707.423079596616,20.0,274.0457777546559
20,0.0,1.0,0.1,0.1,0.8,17849.65411835967,25.0,308.95220561849123,17840.7650237543,21.0,224.16191112296258
21,0.0,1.0,0.2,0.1,0.7,18327.81498547051,26.0,310.3763635388408,10213.06289738417,33.0,275.3672127765896
22,0.0,1.0,0.5,0.1,0.4,18129.69038213721,28.0,286.4054279284849,11241.984536069062,28.0,293.9607496050394
23,0.0,1.0,0.6,0.1,0.3,18158.455493534748,26.0,298.2343429489646,10313.355961477204,31.0,288.47408509073904
24,0.0,1.0,0.7,0.1,0.2,16122.789827708233,30.0,292.8744488447066,10313.355961477204,31.0,288.47408509073904
25,0.0,1.0,0.8,0.1,0.1,17401.046731011662,28.0,296.6116149684709,10649.80200808409,31.0,296.8814054010456
26,0.0,1.0,0.1,0.2,0.7,20183.905326317163,28.0,289.0797879062158,16470.37549124305,23.0,234.9342267411701
27,0.0,1.0,0.2,0.2,0.6,19298.509736628916,29.0,267.48162913474573,10213.06289738417,33.0,275.3672127765896
28,0.0,1.0,0.5,0.2,0.3,19581.534576170787,27.0,313.6283847133567,10313.355961477204,31.0,288.47408509073904
