[[1.45022608e+01 6.58757937e-02]
 [2.08822004e+01 1.22186705e-01]
 [3.08966230e+01 1.61535801e-01]
 [4.99246768e+01 4.15705106e-01]
 [5.42799786e+01 4.46777030e-01]
 [5.49450342e+01 4.76003487e-01]
 [5.52930865e+01 5.65452028e-01]
 [5.97498037e+01 5.84959845e-01]
 [6.18869759e+01 6.36833973e-01]
 [6.57803876e+01 7.00053254e-01]
 [7.28560835e+01 7.16020294e-01]
 [1.06790001e+02 8.08032589e-01]
 [1.08213749e+02 8.23226196e-01]
 [1.19855849e+02 8.33849880e-01]
 [1.29977736e+02 1.13774807e+00]
 [1.37278182e+02 1.34458195e+00]
 [1.37928873e+02 1.37536150e+00]
 [1.39232413e+02 1.42837832e+00]
 [1.41026843e+02 1.45449796e+00]
 [1.42591212e+02 1.64295513e+00]
 [1.46479039e+02 1.68848876e+00]
 [1.63481986e+02 1.83864293e+00]
 [1.69026327e+02 2.04581456e+00]
 [2.04817154e+02 2.06533339e+00]
 [2.25494189e+02 2.11782134e+00]
 [2.26254186e+02 2.13320258e+00]
 [2.36627344e+02 2.13991385e+00]
 [2.37201069e+02 2.17997893e+00]
 [2.47000091e+02 2.23309980e+00]
 [2.55967837e+02 2.39619054e+00]
 [2.73960498e+02 2.40417050e+00]
 [2.76612337e+02 2.61357737e+00]
 [2.79597758e+02 2.61623593e+00]
 [2.90798243e+02 2.65852195e+00]
 [2.92866430e+02 2.74608107e+00]
 [3.11179888e+02 2.81859003e+00]
 [3.12599292e+02 2.83059078e+00]
 [3.17252947e+02 2.91190610e+00]
 [3.34149096e+02 3.06593339e+00]
 [3.53623837e+02 3.07409513e+00]
 [3.59439792e+02 3.18123542e+00]
 [3.72016825e+02 3.47507532e+00]
 [3.77055717e+02 3.54424051e+00]
 [3.90008463e+02 3.81550292e+00]
 [3.92337121e+02 3.90365563e+00]
 [3.98022072e+02 3.98045035e+00]
 [4.01976349e+02 4.04056373e+00]
 [4.28774085e+02 4.40744258e+00]
 [4.31085164e+02 4.45726104e+00]
 [4.56347779e+02 4.49429886e+00]
 [4.73897260e+02 4.53011595e+00]
 [4.85648146e+02 4.53964834e+00]
 [4.90900557e+02 4.66466634e+00]
 [5.08866356e+02 4.70956836e+00]
 [5.25339346e+02 4.73411679e+00]
 [5.25694165e+02 4.81230220e+00]
 [5.38182026e+02 4.87246146e+00]
 [5.53050048e+02 4.91131750e+00]
 [5.53646230e+02 4.95109577e+00]
 [5.55832348e+02 5.41286184e+00]
 [5.59181828e+02 5.45538906e+00]
 [5.62004558e+02 5.64549117e+00]
 [5.66909593e+02 5.72824876e+00]
 [5.71259635e+02 5.74783647e+00]
 [5.73512264e+02 5.80277958e+00]
 [5.84288651e+02 5.99044228e+00]
 [5.89141651e+02 6.20496817e+00]
 [5.91253707e+02 6.52857624e+00]
 [6.01561831e+02 6.82272279e+00]
 [6.06934862e+02 6.85946710e+00]
 [6.26401687e+02 7.01222184e+00]
 [6.37835358e+02 7.06911427e+00]
 [6.48079745e+02 7.28486916e+00]
 [6.52609405e+02 7.40956492e+00]
 [6.60526325e+02 7.43790760e+00]
 [6.76851449e+02 7.55171993e+00]
 [6.83304313e+02 7.84294243e+00]
 [6.85538307e+02 7.86458634e+00]
 [6.91132398e+02 8.01160856e+00]
 [7.01185860e+02 8.02804108e+00]
 [7.24086296e+02 8.03425492e+00]
 [7.58884781e+02 8.20467467e+00]
 [7.82191070e+02 8.26908065e+00]
 [7.83053279e+02 8.27201816e+00]
 [7.88436043e+02 8.42584444e+00]
 [7.92352993e+02 8.45932405e+00]
 [8.11527483e+02 8.86809441e+00]
 [8.12874327e+02 8.87156553e+00]
 [8.28020442e+02 8.89599615e+00]
 [8.54556000e+02 8.96677054e+00]
 [9.02116884e+02 9.13656564e+00]
 [9.09950557e+02 9.28187933e+00]
 [9.29033857e+02 9.43440860e+00]
 [9.38597311e+02 9.48710915e+00]
 [9.39491287e+02 9.60678595e+00]
 [9.42433784e+02 9.61131915e+00]
 [9.70514782e+02 9.61937656e+00]
 [9.74658846e+02 9.65956917e+00]
 [9.82298975e+02 9.69025136e+00]
 [9.94707680e+02 9.86324884e+00]]
